il,ilce,yuzey_sinifi
ANKARA,YENİMAHALLE,Şehir_Yerleşimi
ANTALYA,AKSEKİ,Orman_ve_Doğa
ANTALYA,AKSU,Orman_ve_Doğa
ANTALYA,ALANYA,Şehir_Yerleşimi
ANTALYA,DEMRE(KALE),Tarım_Arazisi
ANTALYA,DÖŞEMEALTI,Şehir_Yerleşimi
ANTALYA,ELMALI,Tarım_Arazisi
ANTALYA,FİNİKE,Şehir_Yerleşimi
ANTALYA,GAZİPAŞA,Şehir_Yerleşimi
ANTALYA,GÜNDOĞMUŞ,Şehir_Yerleşimi
ANTALYA,İBRADI(AYDINKENT),Orman_ve_Doğa
ANTALYA,KAŞ,Şehir_Yerleşimi
ANTALYA,KEMER,Orman_ve_Doğa
ANTALYA,KEPEZ,Şehir_Yerleşimi
ANTALYA,KONYAALTI,Şehir_Yerleşimi
ANTALYA,KORKUTELİ,Şehir_Yerleşimi
ANTALYA,KUMLUCA,Şehir_Yerleşimi
ANTALYA,MANAVGAT,Şehir_Yerleşimi
ANTALYA,MURATPAŞA,Tarım_Arazisi
ANTALYA,SERİK,Şehir_Yerleşimi
ARTVİN,ARDANUÇ,Orman_ve_Doğa
ARTVİN,ARHAVİ,Tarım_Arazisi
ARTVİN,ARTVİN,Orman_ve_Doğa
ARTVİN,BORÇKA,Orman_ve_Doğa
ARTVİN,HOPA,Şehir_Yerleşimi
ARTVİN,MURGUL(GÖKTAŞ),Orman_ve_Doğa
ARTVİN,ŞAVŞAT,Tarım_Arazisi
ARTVİN,YUSUFELİ,Orman_ve_Doğa
AYDIN,AYDIN,Şehir_Yerleşimi
AYDIN,BOZDOĞAN,Şehir_Yerleşimi
AYDIN,BUHARKENT(ÇUBUKDAĞI),Tarım_Arazisi
AYDIN,ÇİNE,Şehir_Yerleşimi
AYDIN,DİDİM(YENİHİSAR),Şehir_Yerleşimi
AYDIN,GERMENCİK,Şehir_Yerleşimi
AYDIN,İNCİRLİOVA,Şehir_Yerleşimi
AYDIN,KARACASU,Şehir_Yerleşimi
AYDIN,KARPUZLU,Şehir_Yerleşimi
AYDIN,KOÇARLI,Şehir_Yerleşimi
AYDIN,KÖŞK,Şehir_Yerleşimi
AYDIN,KUŞADASI,Şehir_Yerleşimi
AYDIN,KUYUCAK,Şehir_Yerleşimi
AYDIN,NAZİLLİ,Şehir_Yerleşimi
AYDIN,SÖKE,Şehir_Yerleşimi
AYDIN,SULTANHİSAR,Şehir_Yerleşimi
AYDIN,YENİPAZAR,Şehir_Yerleşimi
BALIKESİR,AYVALIK,Şehir_Yerleşimi
BALIKESİR,BALIKESİR,Şehir_Yerleşimi
BALIKESİR,BALYA,Şehir_Yerleşimi
BALIKESİR,BANDIRMA,Şehir_Yerleşimi
BALIKESİR,BİGADİÇ,Şehir_Yerleşimi
BALIKESİR,BURHANİYE,Şehir_Yerleşimi
BALIKESİR,DURSUNBEY,Şehir_Yerleşimi
BALIKESİR,EDREMİT,Şehir_Yerleşimi
BALIKESİR,ERDEK,Şehir_Yerleşimi
BALIKESİR,GÖMEÇ,Şehir_Yerleşimi
BALIKESİR,GÖNEN,Şehir_Yerleşimi
BALIKESİR,HAVRAN,Şehir_Yerleşimi
BALIKESİR,İVRİNDİ,Şehir_Yerleşimi
BALIKESİR,KEPSUT,Şehir_Yerleşimi
BALIKESİR,MANYAS,Şehir_Yerleşimi
BALIKESİR,MARMARA,Şehir_Yerleşimi
BALIKESİR,SAVAŞTEPE,Şehir_Yerleşimi
BALIKESİR,SINDIRGI,Şehir_Yerleşimi
BALIKESİR,SUSURLUK,Şehir_Yerleşimi
BİLECİK,BİLECİK,Orman_ve_Doğa
BİLECİK,BOZÜYÜK,Şehir_Yerleşimi
BİLECİK,GÖLPAZARI,Şehir_Yerleşimi
BİLECİK,İNHİSAR,Tarım_Arazisi
BİLECİK,OSMANELİ,Şehir_Yerleşimi
BİLECİK,PAZARYERİ,Şehir_Yerleşimi
BİLECİK,SÖĞÜT,Şehir_Yerleşimi
BİLECİK,YENİPAZAR,Tarım_Arazisi
BİNGÖL,ADAKLI,Şehir_Yerleşimi
BİNGÖL,BİNGÖL,Şehir_Yerleşimi
BİNGÖL,GENÇ,Tarım_Arazisi
BİNGÖL,KARLIOVA,Şehir_Yerleşimi
BİNGÖL,KİĞI,Şehir_Yerleşimi
BİNGÖL,SOLHAN,Şehir_Yerleşimi
BİNGÖL,YAYLADERE,Tarım_Arazisi
BİNGÖL,YEDİSU,Orman_ve_Doğa
BİTLİS,ADİLCEVAZ,Tarım_Arazisi
BİTLİS,AHLAT,Şehir_Yerleşimi
BİTLİS,BİTLİS,Orman_ve_Doğa
BİTLİS,GÜROYMAK,Tarım_Arazisi
BİTLİS,HİZAN,Şehir_Yerleşimi
BİTLİS,MUTKİ,Tarım_Arazisi
BİTLİS,TATVAN,Şehir_Yerleşimi
BOLU,BOLU,Şehir_Yerleşimi
BOLU,DÖRTDİVAN,Tarım_Arazisi
BOLU,GEREDE,Şehir_Yerleşimi
BOLU,GÖYNÜK,Orman_ve_Doğa
BOLU,KIBRISCIK,Şehir_Yerleşimi
BOLU,MENGEN,Şehir_Yerleşimi
BOLU,MUDURNU,Orman_ve_Doğa
BOLU,SEBEN,Tarım_Arazisi
BOLU,YENİÇAĞA,Şehir_Yerleşimi
BURDUR,AĞLASUN,Tarım_Arazisi
BURDUR,ALTINYAYLA(DİRMİL),Şehir_Yerleşimi
BURDUR,BUCAK,Şehir_Yerleşimi
BURDUR,BURDUR,Şehir_Yerleşimi
BURDUR,ÇAVDIR,Şehir_Yerleşimi
BURDUR,ÇELTİKÇİ,Şehir_Yerleşimi
BURDUR,GÖLHİSAR,Şehir_Yerleşimi
BURDUR,KARAMANLI,Şehir_Yerleşimi
BURDUR,KEMER,Şehir_Yerleşimi
BURDUR,TEFENNİ,Şehir_Yerleşimi
BURDUR,YEŞİLOVA,Şehir_Yerleşimi
BURSA,BÜYÜKORHAN,Şehir_Yerleşimi
BURSA,GEMLİK,Şehir_Yerleşimi
BURSA,GÜRSU,Tarım_Arazisi
BURSA,HARMANCIK,Şehir_Yerleşimi
BURSA,İNEGÖL,Şehir_Yerleşimi
BURSA,İZNİK,Şehir_Yerleşimi
BURSA,KARACABEY,Tarım_Arazisi
BURSA,KELES,Şehir_Yerleşimi
BURSA,KESTEL,Şehir_Yerleşimi
BURSA,MUDANYA,Şehir_Yerleşimi
BURSA,MUSTAFAKEMALPAŞA,Su_Yüzeyi
BURSA,NİLÜFER,Şehir_Yerleşimi
BURSA,ORHANELİ,Şehir_Yerleşimi
BURSA,ORHANGAZİ,Şehir_Yerleşimi
BURSA,OSMANGAZİ,Şehir_Yerleşimi
BURSA,YENİŞEHİR,Şehir_Yerleşimi
BURSA,YILDIRIM,Tarım_Arazisi
ÇANAKKALE,AYVACIK,Şehir_Yerleşimi
ÇANAKKALE,BAYRAMİÇ,Şehir_Yerleşimi
ÇANAKKALE,BİGA,Tarım_Arazisi
ÇANAKKALE,BOZCAADA,Tarım_Arazisi
ÇANAKKALE,ÇAN,Şehir_Yerleşimi
ÇANAKKALE,ÇANAKKALE,Şehir_Yerleşimi
ÇANAKKALE,ECEABAT,Şehir_Yerleşimi
ÇANAKKALE,EZİNE,Şehir_Yerleşimi
ÇANAKKALE,GELİBOLU,Şehir_Yerleşimi
ÇANAKKALE,GÖKÇEADA(İMROZ),Tarım_Arazisi
ÇANAKKALE,LAPSEKİ,Tarım_Arazisi
ÇANAKKALE,YENİCE,Şehir_Yerleşimi
ÇANKIRI,ATKARACALAR,Tarım_Arazisi
ÇANKIRI,BAYRAMÖREN,Şehir_Yerleşimi
ÇANKIRI,ÇANKIRI,Şehir_Yerleşimi
ÇANKIRI,ÇERKEŞ,Tarım_Arazisi
ÇANKIRI,ELDİVAN,Tarım_Arazisi
ÇANKIRI,ILGAZ,Şehir_Yerleşimi
ÇANKIRI,KIZILIRMAK,Su_Yüzeyi
ÇANKIRI,KORGUN,Şehir_Yerleşimi
ÇANKIRI,KURŞUNLU,Şehir_Yerleşimi
ÇANKIRI,ORTA,Tarım_Arazisi
ÇANKIRI,ŞABANÖZÜ,Şehir_Yerleşimi
ÇANKIRI,YAPRAKLI,Orman_ve_Doğa
ÇORUM,ALACA,Şehir_Yerleşimi
ÇORUM,BAYAT,Tarım_Arazisi
ÇORUM,BOĞAZKALE,Tarım_Arazisi
ÇORUM,ÇORUM,Şehir_Yerleşimi
ÇORUM,DODURGA,Şehir_Yerleşimi
ÇORUM,İSKİLİP,Orman_ve_Doğa
ÇORUM,KARGI,Şehir_Yerleşimi
ÇORUM,LAÇİN,Tarım_Arazisi
ÇORUM,MECİTÖZÜ,Şehir_Yerleşimi
ÇORUM,OĞUZLAR(KARAÖREN),Şehir_Yerleşimi
ÇORUM,ORTAKÖY,Şehir_Yerleşimi
ÇORUM,OSMANCIK,Şehir_Yerleşimi
ÇORUM,SUNGURLU,Şehir_Yerleşimi
ÇORUM,UĞURLUDAĞ,Orman_ve_Doğa
DENİZLİ,ACIPAYAM,Şehir_Yerleşimi
DENİZLİ,AKKÖY,Şehir_Yerleşimi
DENİZLİ,BABADAĞ,Şehir_Yerleşimi
DENİZLİ,BAKLAN,Şehir_Yerleşimi
DENİZLİ,BEKİLLİ,Şehir_Yerleşimi
DENİZLİ,BEYAĞAÇ,Tarım_Arazisi
DENİZLİ,BOZKURT,Şehir_Yerleşimi
DENİZLİ,BULDAN,Tarım_Arazisi
DENİZLİ,ÇAL,Şehir_Yerleşimi
DENİZLİ,ÇAMELİ,Tarım_Arazisi
DENİZLİ,ÇARDAK,Şehir_Yerleşimi
DENİZLİ,ÇİVRİL,Şehir_Yerleşimi
DENİZLİ,DENİZLİ,Şehir_Yerleşimi
DENİZLİ,GÜNEY,Tarım_Arazisi
DENİZLİ,HONAZ,Şehir_Yerleşimi
DENİZLİ,KALE,Şehir_Yerleşimi
DENİZLİ,SARAYKÖY,Şehir_Yerleşimi
DENİZLİ,SERİNHİSAR,Şehir_Yerleşimi
DENİZLİ,TAVAS,Tarım_Arazisi
DİYARBAKIR,BAĞLAR,Şehir_Yerleşimi
DİYARBAKIR,BİSMİL,Şehir_Yerleşimi
DİYARBAKIR,ÇERMİK,Şehir_Yerleşimi
DİYARBAKIR,ÇINAR,Şehir_Yerleşimi
DİYARBAKIR,ÇÜNGÜŞ,Orman_ve_Doğa
DİYARBAKIR,DİCLE,Şehir_Yerleşimi
DİYARBAKIR,EĞİL,Şehir_Yerleşimi
DİYARBAKIR,ERGANİ,Şehir_Yerleşimi
DİYARBAKIR,HANİ,Şehir_Yerleşimi
DİYARBAKIR,HAZRO,Şehir_Yerleşimi
DİYARBAKIR,KAYAPINAR,Şehir_Yerleşimi
DİYARBAKIR,KOCAKÖY,Şehir_Yerleşimi
DİYARBAKIR,KULP,Şehir_Yerleşimi
DİYARBAKIR,LİCE,Şehir_Yerleşimi
DİYARBAKIR,SİLVAN,Şehir_Yerleşimi
DİYARBAKIR,SUR,Tarım_Arazisi
DİYARBAKIR,YENİŞEHİR,Şehir_Yerleşimi
EDİRNE,EDİRNE,Şehir_Yerleşimi
EDİRNE,ENEZ,Sulak_Alan
EDİRNE,HAVSA,Şehir_Yerleşimi
EDİRNE,İPSALA,Şehir_Yerleşimi
EDİRNE,KEŞAN,Şehir_Yerleşimi
EDİRNE,LALAPAŞA,Tarım_Arazisi
EDİRNE,MERİÇ,Tarım_Arazisi
EDİRNE,SÜLOĞLU(SÜLEOĞLU),Tarım_Arazisi
EDİRNE,UZUNKÖPRÜ,Şehir_Yerleşimi
ELAZIĞ,AĞIN,Tarım_Arazisi
ELAZIĞ,ALACAKAYA,Tarım_Arazisi
ELAZIĞ,ARICAK,Tarım_Arazisi
ELAZIĞ,BASKİL,Şehir_Yerleşimi
ELAZIĞ,ELAZIĞ,Şehir_Yerleşimi
ELAZIĞ,KARAKOÇAN,Şehir_Yerleşimi
ELAZIĞ,KEBAN,Şehir_Yerleşimi
ELAZIĞ,KOVANCILAR,Şehir_Yerleşimi
ELAZIĞ,MADEN,Şehir_Yerleşimi
ELAZIĞ,PALU,Orman_ve_Doğa
ELAZIĞ,SİVRİCE,Şehir_Yerleşimi
ERZİNCAN,ÇAYIRLI,Şehir_Yerleşimi
ERZİNCAN,ERZİNCAN,Şehir_Yerleşimi
ERZİNCAN,ILIÇ(İLİÇ),Şehir_Yerleşimi
ERZİNCAN,KEMAH,Tarım_Arazisi
ERZİNCAN,KEMALİYE,Şehir_Yerleşimi
ERZİNCAN,OTLUKBELİ,Şehir_Yerleşimi
ERZİNCAN,REFAHİYE,Şehir_Yerleşimi
ERZİNCAN,TERCAN,Şehir_Yerleşimi
ERZİNCAN,ÜZÜMLÜ,Şehir_Yerleşimi
ERZURUM,AŞKALE,Şehir_Yerleşimi
ERZURUM,AZİZİYE(ILICA),Şehir_Yerleşimi
ERZURUM,ÇAT,Şehir_Yerleşimi
ERZURUM,HINIS,Şehir_Yerleşimi
ERZURUM,HORASAN,Şehir_Yerleşimi
ERZURUM,İSPİR,Şehir_Yerleşimi
ERZURUM,KARAÇOBAN,Şehir_Yerleşimi
ERZURUM,KARAYAZI,Şehir_Yerleşimi
ERZURUM,KÖPRÜKÖY,Şehir_Yerleşimi
ERZURUM,NARMAN,Tarım_Arazisi
ERZURUM,OLTU,Şehir_Yerleşimi
ERZURUM,OLUR,Tarım_Arazisi
ERZURUM,PALANDÖKEN,Şehir_Yerleşimi
ERZURUM,PASİNLER,Şehir_Yerleşimi
ERZURUM,PAZARYOLU,Tarım_Arazisi
ERZURUM,ŞENKAYA,Tarım_Arazisi
ERZURUM,TEKMAN,Şehir_Yerleşimi
ERZURUM,TORTUM,Orman_ve_Doğa
ERZURUM,UZUNDERE,Tarım_Arazisi
ERZURUM,YAKUTİYE,Şehir_Yerleşimi
ESKİŞEHİR,ALPU,Şehir_Yerleşimi
ESKİŞEHİR,BEYLİKOVA,Şehir_Yerleşimi
ESKİŞEHİR,ÇİFTELER,Şehir_Yerleşimi
ESKİŞEHİR,GÜNYÜZÜ,Şehir_Yerleşimi
ESKİŞEHİR,HAN,Şehir_Yerleşimi
ESKİŞEHİR,İNÖNÜ,Şehir_Yerleşimi
ESKİŞEHİR,MAHMUDİYE,Tarım_Arazisi
ESKİŞEHİR,MİHALGAZİ,Şehir_Yerleşimi
ESKİŞEHİR,MİHALIÇÇIK,Şehir_Yerleşimi
ESKİŞEHİR,ODUNPAZARI,Şehir_Yerleşimi
ESKİŞEHİR,SARICAKAYA,Şehir_Yerleşimi
ESKİŞEHİR,SEYİTGAZİ,Şehir_Yerleşimi
ESKİŞEHİR,SİVRİHİSAR,Şehir_Yerleşimi
ESKİŞEHİR,TEPEBAŞI,Şehir_Yerleşimi
GAZİANTEP,ARABAN,Şehir_Yerleşimi
GAZİANTEP,İSLAHİYE,Şehir_Yerleşimi
GAZİANTEP,KARKAMIŞ,Şehir_Yerleşimi
GAZİANTEP,NİZİP,Şehir_Yerleşimi
GAZİANTEP,NURDAĞI,Şehir_Yerleşimi
GAZİANTEP,OĞUZELİ,Şehir_Yerleşimi
GAZİANTEP,ŞAHİNBEY,Şehir_Yerleşimi
GAZİANTEP,ŞEHİTKAMİL,Şehir_Yerleşimi
GAZİANTEP,YAVUZELİ,Şehir_Yerleşimi
GİRESUN,ALUCRA,Şehir_Yerleşimi
GİRESUN,BULANCAK,Şehir_Yerleşimi
GİRESUN,ÇAMOLUK,Tarım_Arazisi
GİRESUN,ÇANAKÇI,Tarım_Arazisi
GİRESUN,DERELİ,Orman_ve_Doğa
GİRESUN,DOĞANKENT,Orman_ve_Doğa
GİRESUN,ESPİYE,Şehir_Yerleşimi
GİRESUN,EYNESİL,Tarım_Arazisi
GİRESUN,GİRESUN,Şehir_Yerleşimi
GİRESUN,GÖRELE,Şehir_Yerleşimi
GİRESUN,GÜCE,Şehir_Yerleşimi
GİRESUN,KEŞAP,Şehir_Yerleşimi
GİRESUN,PİRAZİZ,Şehir_Yerleşimi
GİRESUN,ŞEBİNKARAHİSAR,Şehir_Yerleşimi
GİRESUN,TİREBOLU,Tarım_Arazisi
GİRESUN,YAĞLIDERE,Şehir_Yerleşimi
GÜMÜŞHANE,GÜMÜŞHANE,Şehir_Yerleşimi
GÜMÜŞHANE,KELKİT,Şehir_Yerleşimi
GÜMÜŞHANE,KÖSE,Şehir_Yerleşimi
GÜMÜŞHANE,KÜRTÜN,Tarım_Arazisi
GÜMÜŞHANE,ŞİRAN,Şehir_Yerleşimi
GÜMÜŞHANE,TORUL,Şehir_Yerleşimi
HAKKARİ,ÇUKURCA,Tarım_Arazisi
HAKKARİ,HAKKARİ,Orman_ve_Doğa
HAKKARİ,ŞEMDİNLİ,Şehir_Yerleşimi
HAKKARİ,YÜKSEKOVA,Şehir_Yerleşimi
HATAY,ALTINÖZÜ,Şehir_Yerleşimi
HATAY,ANTAKYA,Orman_ve_Doğa
HATAY,BELEN,Şehir_Yerleşimi
HATAY,DÖRTYOL,Tarım_Arazisi
HATAY,ERZİN,Şehir_Yerleşimi
HATAY,HASSA,Şehir_Yerleşimi
HATAY,İSKENDERUN,Şehir_Yerleşimi
HATAY,KIRIKHAN,Şehir_Yerleşimi
HATAY,KUMLU,Tarım_Arazisi
HATAY,REYHANLI,Şehir_Yerleşimi
HATAY,SAMANDAĞ,Tarım_Arazisi
HATAY,YAYLADAĞI,Şehir_Yerleşimi
ISPARTA,AKSU,Şehir_Yerleşimi
ISPARTA,ATABEY,Şehir_Yerleşimi
ISPARTA,EĞİRDİR(EĞRİDİR),Su_Yüzeyi
ISPARTA,GELENDOST,Şehir_Yerleşimi
ISPARTA,GÖNEN,Şehir_Yerleşimi
ISPARTA,ISPARTA,Şehir_Yerleşimi
ISPARTA,KEÇİBORLU,Şehir_Yerleşimi
ISPARTA,SENİRKENT,Şehir_Yerleşimi
ISPARTA,SÜTÇÜLER,Tarım_Arazisi
ISPARTA,ŞARKİKARAAĞAÇ,Şehir_Yerleşimi
ISPARTA,ULUBORLU,Şehir_Yerleşimi
ISPARTA,YALVAÇ,Şehir_Yerleşimi
ISPARTA,YENİŞARBADEMLİ,Şehir_Yerleşimi
MERSİN(İÇEL),AKDENİZ,Şehir_Yerleşimi
MERSİN(İÇEL),ANAMUR,Şehir_Yerleşimi
MERSİN(İÇEL),AYDINCIK,Şehir_Yerleşimi
MERSİN(İÇEL),BOZYAZI,Şehir_Yerleşimi
MERSİN(İÇEL),ÇAMLIYAYLA,Tarım_Arazisi
MERSİN(İÇEL),ERDEMLİ,Şehir_Yerleşimi
MERSİN(İÇEL),GÜLNAR (GÜLPINAR),Şehir_Yerleşimi
MERSİN(İÇEL),MEZİTLİ,Şehir_Yerleşimi
MERSİN(İÇEL),MUT,Şehir_Yerleşimi
MERSİN(İÇEL),SİLİFKE,Şehir_Yerleşimi
MERSİN(İÇEL),TARSUS,Şehir_Yerleşimi
MERSİN(İÇEL),TOROSLAR,Şehir_Yerleşimi
MERSİN(İÇEL),YENİŞEHİR,Orman_ve_Doğa
İSTANBUL,ADALAR,Şehir_Yerleşimi
İSTANBUL,ARNAVUTKÖY,Tarım_Arazisi
İSTANBUL,ATAŞEHİR,Şehir_Yerleşimi
İSTANBUL,AVCILAR,Tarım_Arazisi
İSTANBUL,BAĞCILAR,Şehir_Yerleşimi
İSTANBUL,BAHÇELİEVLER,Şehir_Yerleşimi
İSTANBUL,BAKIRKÖY,Şehir_Yerleşimi
İSTANBUL,BAŞAKŞEHİR,Şehir_Yerleşimi
İSTANBUL,BAYRAMPAŞA,Şehir_Yerleşimi
İSTANBUL,BEŞİKTAŞ,Şehir_Yerleşimi
İSTANBUL,BEYKOZ,Şehir_Yerleşimi
İSTANBUL,BEYLİKDÜZÜ,Şehir_Yerleşimi
İSTANBUL,BEYOĞLU,Şehir_Yerleşimi
İSTANBUL,BÜYÜKÇEKMECE,Tarım_Arazisi
İSTANBUL,ÇATALCA,Orman_ve_Doğa
İSTANBUL,ÇEKMEKÖY,Şehir_Yerleşimi
İSTANBUL,ESENLER,Tarım_Arazisi
İSTANBUL,ESENYURT,Şehir_Yerleşimi
İSTANBUL,EYÜP,Şehir_Yerleşimi
İSTANBUL,FATİH,Şehir_Yerleşimi
İSTANBUL,GAZİOSMANPAŞA,Şehir_Yerleşimi
İSTANBUL,GÜNGÖREN,Şehir_Yerleşimi
İSTANBUL,KADIKÖY,Şehir_Yerleşimi
İSTANBUL,KAĞITHANE,Şehir_Yerleşimi
İSTANBUL,KARTAL,Şehir_Yerleşimi
İSTANBUL,KÜÇÜKÇEKMECE,Şehir_Yerleşimi
İSTANBUL,MALTEPE,Orman_ve_Doğa
İSTANBUL,PENDİK,Şehir_Yerleşimi
İSTANBUL,SANCAKTEPE,Tarım_Arazisi
İSTANBUL,SARIYER,Orman_ve_Doğa
İSTANBUL,SİLİVRİ,Tarım_Arazisi
İSTANBUL,SULTANBEYLİ,Şehir_Yerleşimi
İSTANBUL,SULTANGAZİ,Şehir_Yerleşimi
İSTANBUL,ŞİLE,Şehir_Yerleşimi
İSTANBUL,ŞİŞLİ,Şehir_Yerleşimi
İSTANBUL,TUZLA,Şehir_Yerleşimi
İSTANBUL,ÜMRANİYE,Şehir_Yerleşimi
İSTANBUL,ÜSKÜDAR,Şehir_Yerleşimi
İSTANBUL,ZEYTİNBURNU,Şehir_Yerleşimi
İZMİR,ALİAĞA,Şehir_Yerleşimi
İZMİR,BALÇOVA,Orman_ve_Doğa
İZMİR,BAYINDIR,Orman_ve_Doğa
İZMİR,BAYRAKLI,Şehir_Yerleşimi
İZMİR,BERGAMA,Şehir_Yerleşimi
İZMİR,BEYDAĞ,Şehir_Yerleşimi
İZMİR,BORNOVA,Şehir_Yerleşimi
İZMİR,BUCA,Şehir_Yerleşimi
İZMİR,ÇEŞME,Şehir_Yerleşimi
İZMİR,ÇİĞLİ,Şehir_Yerleşimi
İZMİR,DİKİLİ,Şehir_Yerleşimi
İZMİR,FOÇA,Şehir_Yerleşimi
İZMİR,GAZİEMİR,Şehir_Yerleşimi
İZMİR,GÜZELBAHÇE,Orman_ve_Doğa
İZMİR,KARABAĞLAR,Orman_ve_Doğa
İZMİR,KARABURUN,Orman_ve_Doğa
İZMİR,KARŞIYAKA,Şehir_Yerleşimi
İZMİR,KEMALPAŞA,Şehir_Yerleşimi
İZMİR,KINIK,Şehir_Yerleşimi
İZMİR,KİRAZ,Şehir_Yerleşimi
İZMİR,KONAK,Şehir_Yerleşimi
İZMİR,MENDERES(CUMAOVASI),Şehir_Yerleşimi
İZMİR,MENEMEN,Şehir_Yerleşimi
İZMİR,NARLIDERE,Şehir_Yerleşimi
İZMİR,ÖDEMİŞ,Şehir_Yerleşimi
İZMİR,SEFERİHİSAR,Şehir_Yerleşimi
İZMİR,SELÇUK,Şehir_Yerleşimi
İZMİR,TİRE,Şehir_Yerleşimi
İZMİR,TORBALI,Şehir_Yerleşimi
İZMİR,URLA,Şehir_Yerleşimi
KARS,AKYAKA,Şehir_Yerleşimi
KARS,ARPAÇAY,Şehir_Yerleşimi
